# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m
26.70581,-2.34278,2.41037,1.80134,-0.06342,0.57500,0.67500
26.78248,-2.36012,2.48505,1.79662,-0.05947,0.60000,0.65000
26.85946,-2.37719,2.56011,1.79220,-0.05555,0.57500,0.67500
26.93676,-2.39400,2.63557,1.78805,-0.05166,0.57500,0.67500
27.01441,-2.41059,2.71142,1.78419,-0.04782,0.60000,0.70000
27.09240,-2.42697,2.78767,1.78055,-0.04922,0.62500,0.70000
27.17075,-2.44312,2.86433,1.77616,-0.06300,0.62500,0.72500
27.24938,-2.45895,2.94136,1.77066,-0.07671,0.65000,0.70000
27.32826,-2.47436,3.01872,1.76407,-0.09042,0.62500,0.72500
27.40732,-2.48926,3.09636,1.75638,-0.10421,0.62500,0.72500
27.48652,-2.50354,3.17426,1.74757,-0.11815,0.65000,0.75000
27.56580,-2.51710,3.25237,1.73765,-0.13232,0.65000,0.75000
27.64511,-2.52984,3.33066,1.72658,-0.14677,0.67500,0.72500
27.72442,-2.54168,3.40908,1.71436,-0.16156,0.67500,0.72500
27.80369,-2.55250,3.48760,1.70095,-0.17673,0.67500,0.75000
27.88287,-2.56221,3.56619,1.68634,-0.19234,0.70000,0.75000
27.96193,-2.57071,3.64479,1.67050,-0.20840,0.70000,0.72500
28.04085,-2.57791,3.72338,1.65341,-0.22495,0.70000,0.72500
28.11960,-2.58369,3.80192,1.63502,-0.24199,0.72500,0.77500
28.19816,-2.58797,3.88036,1.61533,-0.25951,0.72500,0.75000
28.27652,-2.59064,3.95868,1.59429,-0.27750,0.72500,0.75000
28.35467,-2.59161,4.03682,1.57189,-0.29591,0.72500,0.75000
28.43262,-2.59078,4.11476,1.54809,-0.31466,0.77500,0.75000
28.51036,-2.58805,4.19245,1.52290,-0.33366,0.77500,0.75000
