#{"t_start": 1787521111.830546, "env_id": "None"}
r,l,t
2690.148804,1204,45998.8958
346.043872,169,46022.397128
956.831344,429,46082.231807
759.119126,352,46129.846204
1106.90549,495,46198.769481
4096.115528,1800,46443.085689
3958.28837,1800,46682.117093
1765.728698,822,46790.504833
3967.492225,1800,47026.982446
3947.845176,1800,47262.115515
3880.684195,1800,47491.974656
923.652771,446,47548.501755
3927.296287,1800,47778.600186
3892.988988,1800,48007.349679
3921.743828,1800,48238.099317
3911.51891,1800,48468.396978
3911.743086,1800,48698.056513
3773.991494,1770,48922.585336
3951.060662,1800,49153.531232
4010.947644,1800,49388.058965
4060.166731,1800,49627.568115
43.662863,24,49631.576824
38.954014,23,49635.346242
40.8215,22,49639.073667
57.372559,44,49645.467416
30.342349,23,49649.354155
39.264384,24,49653.20152
32.227853,21,49657.108328
38.078472,22,49660.917792
128.662085,66,49670.479215
40.69409,24,49674.475758
39.590616,23,49678.285998
71.569308,40,49684.380301
58.691447,39,49690.155505
38.488597,24,49694.096718
31.054719,22,49697.835009
35.012892,22,49701.624526
29.81578,17,49705.268145
26.786437,22,49708.834898
28.737463,18,49712.208954
68.994778,44,49719.087567
27.560535,19,49722.798992
36.298927,21,49726.396579
33.478852,23,49730.188653
31.824344,25,49733.918983
37.406816,26,49737.861237
30.114459,19,49741.377481
23.768247,17,49744.509176
37.947734,19,49748.133023
29.940981,19,49751.826392
-1.230555,10,49754.318974
28.457111,23,49758.195626
59.100156,36,49763.624964
28.148949,20,49767.230966
39.048078,23,49771.100462
55.496429,34,49776.233516
52.427471,35,49781.464129
61.954341,36,49786.997442
112.551092,58,49795.071254
30.459663,21,49798.800401
40.0332,26,49802.566301
58.069907,35,49807.606939
34.144887,23,49811.423973
32.907434,23,49815.093315
63.526325,39,49821.248002
52.725032,37,49826.919555
28.777519,23,49830.415463
36.419027,24,49834.289979
29.925677,22,49838.017584
34.650906,24,49841.946228
39.343756,24,49845.922598
33.567453,22,49849.592569
30.904515,23,49853.270296
34.486898,24,49857.135494
32.685195,25,49860.924006
30.997239,20,49864.487693
34.097037,27,49868.893518
33.644177,25,49872.647786
31.064182,22,49876.429698
69.256496,37,49882.31762
38.141426,23,49886.106989
39.781568,25,49890.279264
36.316564,20,49893.974543
31.34823,21,49897.550387
122.563057,79,49908.201041
27.125766,19,49911.793675
30.349391,23,49915.543412
38.46776,27,49919.527449
78.279271,43,49926.224027
39.745118,21,49929.872667
39.029821,28,49933.823365
254.606831,127,49951.780322
39.033982,28,49955.852757
37.85729,25,49960.012967
31.315978,23,49963.722273
39.057135,23,49967.488647
56.673585,36,49973.335891
40.322002,26,49977.551556
40.036319,27,49981.569347
27.840166,30,49986.196647
29.685005,23,49990.177299
34.865114,21,49994.231145
37.682892,25,49998.275941
35.092023,24,50002.196983
37.073547,23,50006.048738
38.361299,29,50010.352837
78.292134,45,50016.766517
80.451959,44,50023.207852
45.685769,28,50027.526209
56.968808,36,50033.066587
73.352329,46,50039.93734
206.021232,104,50054.34984
75.239901,46,50060.865743
36.837407,23,50065.149646
76.327469,41,50071.460273
37.429931,22,50075.169232
41.751241,32,50080.087838
128.950475,66,50089.974496
40.132676,26,50094.176144
79.590381,45,50100.607278
40.04639,27,50104.979899
31.317887,19,50108.599037
45.869803,28,50113.295542
114.514762,64,50121.986309
78.210196,49,50128.80464
40.380126,25,50133.030282
44.43383,30,50137.716254
36.319729,28,50141.936639
47.451144,28,50146.514066
40.012602,27,50150.792602
38.306318,24,50154.895985
72.401921,46,50161.591968
38.543249,26,50165.676031
78.677033,46,50172.490714
58.786757,36,50178.105292
56.302352,42,50183.884022
45.760456,27,50188.084288
35.174135,26,50192.277114
51.203267,37,50198.266852
72.205136,46,50205.070503
31.553143,24,50209.223362
39.980886,26,50213.602616
188.111822,90,50226.490867
186.229387,90,50239.55461
70.869238,40,50245.658751
47.409945,26,50250.210755
45.250671,28,50254.833014
69.728427,40,50261.420498
48.465514,29,50266.258577
52.865636,37,50271.67892
108.933494,57,50280.005968
43.865018,31,50285.340506
45.651187,27,50289.577154
40.892421,25,50294.089471
49.057397,38,50300.070696
59.28571,33,50305.567536
184.01611,94,50318.337066
69.779989,41,50324.761015
36.637436,28,50329.13672
77.964379,46,50335.964717
180.506402,105,50350.195552
184.90208,91,50362.691699
66.064327,37,50368.930008
27.997712,21,50372.874192
79.062242,44,50379.523902
226.19163,116,50394.897908
43.987743,25,50399.133042
128.833983,67,50408.491179
38.278743,29,50412.975569
48.092749,32,50418.040996
231.285035,114,50433.696125
68.520279,38,50439.817418
77.482491,44,50446.283206
52.833821,35,50451.549657
71.320155,43,50457.913696
45.089454,35,50463.064304
43.543011,30,50467.445418
66.873341,38,50473.381703
68.601324,35,50479.34169
72.004201,41,50485.881486
43.923203,27,50490.329563
45.602581,27,50494.896693
229.609336,109,50510.108705
49.797393,33,50515.147629
188.459513,102,50529.002553
216.49214,108,50544.914864
324.552173,158,50566.659832
79.154115,46,50573.360925
198.710614,107,50587.263964
56.400256,31,50592.227542
117.640725,62,50601.619155
23.417581,16,50604.78055
23.0407,18,50607.936875
48.893327,31,50612.633448
263.49946,134,50630.304856
