#{"t_start": 1787588238.8745835, "env_id": "None"}
r,l,t
46.503297,59,3958.014857
45.240753,60,3962.190888
45.434374,57,3966.30258
45.442266,61,3970.564153
43.761606,66,3975.171939
46.248685,59,3979.288454
46.358076,68,3983.927548
46.27443,70,3988.6665
50.927645,69,3993.344805
48.443673,65,3997.936129
49.360113,62,4002.452689
45.066051,60,4006.619765
43.505221,60,4010.990528
2.544946,26,4013.372555
46.521697,59,4017.482138
50.472012,64,4022.027834
40.657786,58,4026.033628
45.03334,67,4030.760496
44.439323,64,4035.105014
49.165796,67,4039.700511
43.533536,62,4044.123258
38.035947,59,4048.33654
51.532091,66,4052.911827
38.986461,55,4056.903636
45.98335,59,4061.074738
39.090865,57,4065.168471
47.621362,57,4069.222424
46.977266,57,4073.380664
46.713312,59,4077.497698
49.272911,68,4082.06875
38.082494,55,4086.132925
47.82679,58,4090.193054
47.193716,60,4094.35172
46.829393,56,4098.38619
45.364043,61,4102.738061
43.896557,61,4107.08181
46.08625,61,4111.315481
50.102381,62,4115.831769
41.481979,55,4120.099823
44.600229,62,4124.526014
51.419279,69,4129.349961
44.029521,63,4133.702433
47.116546,59,4137.861344
35.406256,54,4141.84689
46.258507,61,4146.073313
40.56648,56,4150.140945
49.212508,70,4154.85351
49.352852,66,4159.484504
44.852393,61,4163.767871
44.714335,62,4168.340648
44.24458,64,4172.943833
45.811053,59,4177.170919
44.544499,61,4181.461387
48.089769,65,4186.049281
48.144567,70,4190.894428
50.321563,61,4195.336082
48.478318,69,4200.161848
51.503773,63,4204.611449
45.925673,60,4208.795747
46.905302,60,4213.010663
47.315368,72,4218.0255
46.262058,57,4222.186491
45.610077,68,4226.811016
43.778811,60,4231.133621
45.239415,60,4235.341412
48.795997,66,4240.005959
38.934078,57,4244.045854
44.196166,58,4248.391454
42.554631,62,4252.786208
46.318788,56,4256.793907
46.595115,69,4261.539081
37.678421,52,4265.614002
48.277932,63,4269.986516
44.369863,58,4274.311859
46.981673,68,4278.926882
46.653733,56,4283.043095
45.450673,62,4287.375469
44.847928,62,4291.73551
44.561257,56,4295.953813
