# x_m,y_m,w_tr_right_m,w_tr_left_m,s_m,kappa_radpm
2.5252,-7.4427,0.6900,0.6800,28.1000,0.1606
2.5329,-7.5424,0.7000,0.6700,28.2000,0.1805
2.5423,-7.6419,0.7100,0.6600,28.3000,0.2004
2.5538,-7.7413,0.7300,0.6500,28.4000,0.2198
2.5674,-7.8403,0.7400,0.6400,28.5000,0.2385
2.5834,-7.9391,0.7600,0.6300,28.6000,0.2561
2.6019,-8.0373,0.7800,0.6100,28.7000,0.2724
2.6231,-8.1351,0.8100,0.5900,28.8000,0.2871
2.6471,-8.2321,0.8400,0.5700,28.9000,0.3003
2.6740,-8.3284,0.8800,0.5500,29.0000,0.3117
2.7038,-8.4239,0.8600,0.5500,29.1000,0.3214
2.7367,-8.5183,0.8300,0.5500,29.2000,0.3294
2.7727,-8.6116,0.8000,0.5700,29.3000,0.3359
2.8119,-8.7036,0.7800,0.5600,29.4000,0.3412
2.8541,-8.7943,0.7700,0.5800,29.5000,0.3453
2.8994,-8.8834,0.7800,0.5900,29.6000,0.3487
2.9479,-8.9709,0.7700,0.5800,29.7000,0.3514
2.9993,-9.0566,0.7800,0.5900,29.8000,0.3536
3.0538,-9.1405,0.7700,0.6000,29.9000,0.3555
3.1112,-9.2224,0.7500,0.6300,30.0000,0.3572
3.1715,-9.3021,0.7200,0.6400,30.1000,0.3585
3.2346,-9.3797,0.7200,0.6400,30.2000,0.3592
3.3004,-9.4549,0.7000,0.6400,30.3000,0.3593
3.3689,-9.5278,0.7100,0.6400,30.4000,0.3584
3.4400,-9.5981,0.7000,0.6500,30.5000,0.3563
3.5136,-9.6659,0.7100,0.6500,30.6000,0.3529
3.5894,-9.7310,0.7200,0.6500,30.7000,0.3478
3.6675,-9.7934,0.7300,0.6300,30.8000,0.3409
3.7477,-9.8532,0.7500,0.6100,30.9000,0.3317
3.8298,-9.9102,0.7700,0.6100,31.0000,0.3192
3.9137,-9.9646,0.8000,0.5900,31.1000,0.3017
3.9992,-10.0165,0.8200,0.5900,31.2000,0.2771
4.0861,-10.0660,0.8400,0.5500,31.3000,0.2429
4.1742,-10.1133,0.8800,0.5400,31.4000,0.1971
4.2632,-10.1589,0.9100,0.5100,31.5000,0.1379
4.3528,-10.2033,0.9600,0.4700,31.6000,0.0625
4.4427,-10.2471,1.0000,0.4400,31.7000,0.0213
4.5327,-10.2907,1.0300,0.4000,31.8000,-0.0888
4.6223,-10.3351,1.0500,0.3700,31.9000,-0.1617
4.7112,-10.3809,3.0000,0.3400,32.0000,-0.2248
4.7990,-10.4288,3.0000,0.3100,32.1000,-0.2778
4.8855,-10.4790,3.0000,0.2700,32.2000,-0.3226
4.9702,-10.5320,3.0000,0.2400,32.3000,-0.3672
5.0530,-10.5881,3.0000,0.2300,32.4000,-0.4560
5.1332,-10.6479,3.0000,0.2100,32.5000,-0.4678
5.2104,-10.7114,3.0000,0.2100,32.6000,-0.5893
5.2838,-10.7793,3.0000,0.2000,32.7000,-0.7594
5.3518,-10.8526,3.0000,0.2000,32.8000,-0.5247
5.4159,-10.9293,3.0000,0.2100,32.9000,-1.0485
5.4716,-11.0123,2.5900,0.2400,33.0000,-1.2731
5.5163,-11.1016,1.9500,0.2800,33.1000,-1.5217
5.5471,-11.1967,1.6000,0.3100,33.2000,-1.7727
5.5608,-11.2956,1.4000,0.2900,33.3000,-1.8205
5.5565,-11.3954,1.5100,0.3000,33.4000,-1.7904
5.5346,-11.4928,1.7800,0.3300,33.5000,-1.6112
5.4974,-11.5856,2.1700,0.2600,33.6000,-1.1637
5.4497,-11.6734,2.9100,0.2300,33.7000,-1.2379
5.3916,-11.7547,3.0000,0.2000,33.8000,-0.9011
5.3264,-11.8305,3.0000,0.2000,33.9000,-0.7048
5.2561,-11.9016,3.0000,0.2000,34.0000,-0.5808
5.1817,-11.9684,3.0000,0.2000,34.1000,-0.4689
5.1043,-12.0317,3.0000,0.2400,34.2000,-0.4322
5.0242,-12.0916,3.0000,0.2500,34.3000,-0.4065
4.9417,-12.1481,3.0000,0.2700,34.4000,-0.3748
4.8572,-12.2016,3.0000,0.2900,34.5000,-0.3294
4.7710,-12.2522,3.0000,0.3100,34.6000,-0.2689
4.6834,-12.3005,1.0800,0.3500,34.7000,-0.1852
4.5950,-12.3472,1.0600,0.3900,34.8000,-0.1064
4.5061,-12.3929,1.0000,0.4200,34.9000,-0.0251
4.4170,-12.4384,0.9700,0.4600,35.0000,0.0478
4.3282,-12.4844,0.9400,0.4800,35.1000,0.1084
4.2399,-12.5312,0.9100,0.5000,35.2000,0.1582
4.1523,-12.5795,0.8600,0.5400,35.3000,0.1966
4.0657,-12.6295,0.8400,0.5600,35.4000,0.2272
3.9802,-12.6815,0.8000,0.5800,35.5000,0.2572
3.8962,-12.7356,0.7900,0.6000,35.6000,0.2773
3.8136,-12.7920,0.7500,0.6200,35.7000,0.2931
3.7328,-12.8508,0.7500,0.6200,35.8000,0.3036
3.6537,-12.9121,0.7100,0.6400,35.9000,0.3092
3.5766,-12.9758,0.7200,0.6500,36.0000,0.3117
3.5015,-13.0418,0.7000,0.6500,36.1000,0.3117
3.4285,-13.1102,0.7000,0.6400,36.2000,0.3105
3.3577,-13.1807,0.7000,0.6500,36.3000,0.3090
3.2891,-13.2535,0.7000,0.6600,36.4000,0.3081
3.2227,-13.3283,0.7100,0.6400,36.5000,0.3082
3.1587,-13.4051,0.7200,0.6300,36.6000,0.3096
3.0971,-13.4839,0.7400,0.6300,36.7000,0.3125
3.0380,-13.5645,0.7600,0.6200,36.8000,0.3168
2.9815,-13.6470,0.7800,0.5900,36.9000,0.3221
2.9276,-13.7313,0.7600,0.6000,37.0000,0.3280
2.8766,-13.8172,0.7400,0.6000,37.1000,0.3339
2.8284,-13.9049,0.7300,0.6200,37.2000,0.3389
2.7832,-13.9941,0.7300,0.6000,37.3000,0.3422
2.7412,-14.0848,0.7500,0.6100,37.4000,0.3429
2.7022,-14.1769,0.7500,0.5900,37.5000,0.3400
2.6664,-14.2703,0.7500,0.5900,37.6000,0.3325
2.6338,-14.3648,0.7600,0.5900,37.7000,0.3197
2.6041,-14.4603,0.8000,0.5700,37.8000,0.3005
2.5774,-14.5566,0.8200,0.5600,37.9000,0.2745
2.5533,-14.6537,0.8400,0.5400,38.0000,0.2409
2.5315,-14.7513,0.8700,0.5300,38.1000,0.1994
2.5117,-14.8493,0.9100,0.5000,38.2000,0.1497
2.4934,-14.9476,0.9500,0.4600,38.3000,0.0921
2.4759,-15.0461,0.9800,0.4500,38.4000,0.0266
2.4588,-15.1446,2.3600,0.4200,38.5000,-0.0460
2.4411,-15.2430,2.3500,0.3900,38.6000,-0.1248
2.4223,-15.3412,2.3300,0.3600,38.7000,-0.2084
2.4014,-15.4390,2.3300,0.3300,38.8000,-0.2951
2.3776,-15.5362,2.3200,0.3100,38.9000,-0.3830
2.3502,-15.6323,2.3200,0.2900,39.0000,-0.4698
2.3182,-15.7270,2.3300,0.2700,39.1000,-0.5528
2.2811,-15.8199,2.3400,0.2700,39.2000,-0.6295
2.2382,-15.9102,2.3700,0.2700,39.3000,-0.6973
2.1891,-15.9973,2.4100,0.2800,39.4000,-0.7539
2.1337,-16.0805,2.4700,0.2800,39.5000,-0.7974
2.0718,-16.1590,2.5500,0.3000,39.6000,-0.8262
2.0036,-16.2321,2.6600,0.3500,39.7000,-0.8401
1.9295,-16.2992,2.8100,0.3900,39.8000,-0.8393
1.8501,-16.3600,2.9900,0.3900,39.9000,-0.8246
1.7660,-16.4140,3.0000,0.3600,40.0000,-0.7992
1.6778,-16.4611,3.0000,0.2900,40.1000,-0.7665
1.5863,-16.5013,3.0000,0.2400,40.2000,-0.7293
1.4921,-16.5348,3.0000,0.1900,40.3000,-0.6996
1.3958,-16.5616,3.0000,0.1600,40.4000,-0.6745
1.2979,-16.5818,3.0000,0.1400,40.5000,-0.6599
1.1988,-16.5956,3.0000,0.1300,40.6000,-0.6920
1.0991,-16.6025,3.0000,0.1200,40.7000,-0.6939
0.9991,-16.6025,3.0000,0.1200,40.8000,-0.7669
0.8994,-16.5948,3.0000,0.1300,40.9000,-0.9695
0.8010,-16.5776,3.0000,0.1500,41.0000,-0.8304
0.7043,-16.5522,2.4100,0.1800,41.1000,-1.4188
0.6122,-16.5135,1.8600,0.2300,41.2000,-1.7174
0.5280,-16.4598,3.0000,0.3000,41.3000,-1.9508
0.4558,-16.3910,3.0000,0.3300,41.4000,-2.0393
0.3988,-16.3090,3.0000,0.3000,41.5000,-1.8481
0.3577,-16.2180,2.6000,0.2400,41.6000,-1.5843
0.3313,-16.1216,2.3700,0.2000,41.7000,-1.2457
0.3171,-16.0227,2.2700,0.1800,41.8000,-0.7275
0.3101,-15.9230,2.2400,0.1800,41.9000,-0.8568
0.3116,-15.8230,2.2100,0.1800,42.0000,-0.5939
0.3190,-15.7233,2.2200,0.1900,42.1000,-0.4906
0.3314,-15.6241,2.2200,0.2000,42.2000,-0.4268
0.3479,-15.5254,2.2100,0.2200,42.3000,-0.3033
0.3675,-15.4274,2.2100,0.2400,42.4000,-0.3009
0.3899,-15.3299,2.2200,0.2600,42.5000,-0.2627
0.4150,-15.2331,2.2400,0.2900,42.6000,-0.2243
0.4422,-15.1369,2.2500,0.3200,42.7000,-0.1831
0.4711,-15.0412,2.2500,0.3500,42.8000,-0.1167
0.5012,-14.9458,2.2500,0.3900,42.9000,-0.0511
0.5317,-14.8506,2.2800,0.4200,43.0000,0.0180
0.5621,-14.7553,2.2900,0.4500,43.1000,0.1052
0.5915,-14.6597,2.3100,0.4800,43.2000,0.1154
0.6198,-14.5638,0.8900,0.5100,43.3000,0.1623
0.6465,-14.4674,0.8600,0.5300,43.4000,0.1880
0.6714,-14.3706,0.8300,0.5500,43.5000,0.2059
0.6943,-14.2732,0.8000,0.5700,43.6000,0.2224
0.7150,-14.1754,0.7700,0.5900,43.7000,0.2283
0.7335,-14.0771,0.7500,0.6100,43.8000,0.2292
0.7497,-13.9785,0.7300,0.6200,43.9000,0.2244
0.7637,-13.8795,0.7200,0.6300,44.0000,0.2141
0.7756,-13.7802,0.7000,0.6500,44.1000,0.2004
0.7855,-13.6807,0.6900,0.6500,44.2000,0.1837
